category,title,rank,solutions
Ränne,"Välismaalastesse suhtutakse eelarvamustega ja ei hinnata nende võimalikku positiivset panust ühiskonda, majandusse ja kultuuriellu",11,"Luua põliselanike ning uussisserändajate koos tegutsemiseks rohkem võimalusi - nt ühishackatonid.
Välismaalastest tippspetsialistide tutvustamine Eesti elanikele erinevates kanalites ja erinevate meetodite abil. 
Anname tuld sallimatusele: rohkem sallivusprogramme juba varajases eas. "
Ränne,Eestis kõrghariduse omandanud välistudengite potentsiaali ei osata ära kasutada,7,
Ränne,"Palkadevaheline ebavõrdsus soodustab inimeste koondumist linnadesse ja rännet välismaale, maakohad jäävad aga tühjemaks",22,"Maakogukondades toimuvad lahedad asjad nähtavaks (veeb, tõsieluseriaal, küladevaheline TV võistlus). 
Maapiirkonda kestlikud ettevõtted: uurida kohalikku ressurssi, aidata leida ettevõtlusideed, alustavale ettevõtjale toetus. 
Abinõud, mis kutsuksid inimesi maale elama (maksusoodustused maakohtade elanikele, ettevõtlusmaksude alandamine, noorte perede eluasemelaenu soodustused jne). 
Think-thank+sovhoos= thinkhoos (liikuvad loomeinkubaatorid külakeskustes ja rahvamajades): a) kaardistavad piirkonna ressursid ja väljakutsed b) toimuvad häkathonid või mõttetalgud lahenduste leidmiseks c) koos on linnaajud ja kohalikud d) kaasatakse disainerid e) kaasnev haridusprogramm lastele ja noortele f) loomekeskustest kasvavad välja mittekohapõhiste töökohtade pesad. 
Maaelu linnaga võrdseks: ""Muuta regionaalpoliitikat"". 
""Polka"" positiivse rände teenistusse. Ühe lahendusena riigipoolne tugi: toetusmeetmed ja maksusoodustused maapiirkondadele, nt maksuerisused (tööjõumaks, ettevõtte tulumaks) jne. 
Maale tööle! Soodsa ettevõtluskliima/elukeskkonna loomine maapiirkondadesse: a) maksuerisused, b) toetus äri-ja eluruumide toetamisel, c) riiklikud toetused maapiirkonna ettevõtlusele, d) kaugtöövõimaluste soodustamine, e) sotsiaalse infrastuktuuri tagamine.
Kui riik teeb kogukonna ettepanekul  targad otsused, valivad noored elukohaks pigem maa, mitte suurlinna.  
Terviklahendus: ettevõtlikkuse arendamine täiskasvanutes ja noortes, riiklikud ja omavalitsuste toetused, parem infrastruktuur ja võrgustikud, kaasaegsed töövormid. 
Riik soodustab maaelanikke rohkemate ""raha kätte"" soodustustega (nt tulumaks 15%) ja annab elamukrundi. 
Leiame üles väike-ettevõtjad, kes oleksid eeskujuks ja läbi oma eduloo jutustamise motiveeriksid ka noori väike-ettevõtjaks hakkama. Abiks on ka õppereisid. 
Sponsorpakett ääremaale: regionaalne maksupoliitika, maksupaketi loomine.
Perifeeria Triumf: kaugtöökeskus/multifunktsionaalsed kogukonna keskused. Päeval avatud kontor-kaugtöökeskus. Õhtul muud kogukonna üritused/teenused. 
Maksusoodustused maapiirkondade ettevötetele: reaalsed soodustused, mis teevad ka teised piirkonnad peale suurlinnade atraktiivseks. 
(Veeb) Riik tagab ühendusteed ja hoiab need korras, et hoida elu maal. Pole mõtet autosid lõpmatult lõhkuda ja remontida!
Väliseesti sihtgrupile kohandatud haridusteenuste pakett olemasolevate maakoolide baasil: maakoolide ressursil põhinevate teenuste globaalne eksport -  väliseesti lastele ja peredele erivormilised haridusteenused lühiajalistest õpilasvahetuse laadsetest tsüklitest, laagritest, veebitundidest, drop-off-koolist/lasteaiast kuni klassikalise õpilaskodu-kool (boarding school) võimaluseni. Vähenõudlikumate projektidega nagu keele- ja kultuurilaagrid lastele ja kakskeelsetele peredele, õpinädalad/-kuud Eesti koolides saab alustada piloteerimist. "
Ränne,Teatud valdkondades on välismaal töö leidmise tõenäosus ja karjäärivõimalused suuremad,13,Paindliku töökorralduse võimaldamine.
Ränne,Eesti ei ole atraktiivne töötamise sihtriik välisspetsialistidele,5,
Ränne,"Väliskogukondi ei tunnustata piisavalt ning välismaal elavad eestlased ei tunne, et Eesti riik neid vajab",9,"Majanduslik koostöö: auhind piirkonnale, kes on suutnud tagasi meelitada väljarändajaid või teinud nendega head koostööd; kodus luua parem keskkond, infra, teenused, toetused, et anda põhjust tagasi tulla."
Ränne,Piiratud on eestlaste valmisolek välismaalastega suhelda ning neid igapäevaellu kaasata,5,
Ränne,"Valdav on hirm, et välismaalased ei kohane ega lõimu, kasutavad ära meie sotsiaalsüsteemi",1,
Ränne,Eestlased tajuvad ebavõrdset kohtlemist siia tulevate/toodavate inimeste suhtes võrreldes siin juba abivajavate inimestega,1,
Ränne,"Tagasirändajaisse suhtutakse mõnikord kui läbikukkujatesse, kes välismaal hakkama ei saanud",3,
Ränne,"Eestis elavad teistest rahvustest inimesed tajuvad ebavõrdseid võimalusi nii ühiskonnaelus osalemises, töö-, haridus- kui kultuurielus",1,
Ränne,Inimestevaheline lõhestumine,1,Eelarvamusteta: inimestel on oskused ja teadmised erinevuste teadvustamiseks ning eetiliseks käitumiseks.  
Tööhõive,Eestit iseloomustab madal tööjõutootlikkus,2,
Tööhõive,Ligikaudu 24 600 noort vanuses 15-29 ei käi koolis ega tööl,18,"Lisaraha eraldamine KOVidele sotsiaalteenuste arendamiseks. 
Haridusmürsk: uuendusmeelne süsteem ja personal ning abiõpetajate mudel, et aidata õpilaste mahajäämust vähendada, sh 1) õpilasele personaalne õppeplaan 2) õppeainete sidusus, mis lubab leida aega põhiainete omandamisele kuluvast ajast uute teadmiste omandamiseks.
Noored spetsialistideks: ametikoolid - õppekavade paindlik vahetamine vastavalt riiklikule vajadusele. Ka kutsehariduse väärtustamine ja turundamine. 
Noortel on ettevõtluse alustamiseks maksusoodustused, mentorlusprogrammid, tasuta tugiteenused nagu raamatupidamine. 
Koolid toetavad kõikide annetega õpilasi  - õpetajad on selleks ettevalmistatud, aga kaasatakse ka kodanikuühiskonna organisatsioone. 
Märka Noort: kogukonna suurem teadvustamine, märka noort! Nõustamine, info võimalustest. Kaasatakse külavanemaid, KOV sotsiaaltöötajaid, aktiivseid inimesi; tugiisikute rakendamine ja sotsiaameedia kasutamine."
Tööhõive,Juhtimiskvaliteet on Eesti ettevõtetes ja organisatsioonides madal,12,"Juhtimine külakorda: tööprotsessides lepitakse ühiselt kokku; selgitustöö, miks on töötajate kaasamata jätmine majanduslikult kahjulik.
Põlvkonnavahetus juhtide seas, selle võimaldamiseks ettevõtlusõppe arendamine koolides, toetused,  ebaõnnestujate ""turvavõrk"" . "
Tööhõive,"Täiend- ja ümberõpe ei ole piisavalt toetatud, uues valdkonnas on inimestel keeruline tööd leida",6,"Personaalne õpikonto: igale töötavale inimesele laekub kontole õppimiseks konkreetne summa, mille kasutamises lepitakse tema huvide ja vestluse põhjal kokku, millised koolitused on talle enesetäiendamiseks kasulikud ja mida saab õpikonto kaudu rahastada.
Ametipõhised e-õppeplatvormid koos praktikabaasiga. 
Koolitus töökohal: ametisse valitud töötajate õpe tagatakse ettevõttes kohapeal. 
Ümberõpe on popp!: 1) avalik ümberõppe populariseerimise programm 2) töövarju ja tööpausi võimalused igas vanuses 3) eestikeelsete e-õppe võimaluste loomine ümber- ja täiendõppeks. 
Elukestevõpe.ee: veebikeskkond, mis viib kokku 1) töötaja hariduse, kogemuse, isikuomadused, täiendkoolitusvajaduse, elukoha, ootused töökohale 2) tööturu olukorra ja vajadustega (OSKA, MKM) 3) Koolituspakkumised (täpne sisu/õppekava) 4) Tööandja vajadused. Inimene saaks enda profiilile vastavat infot. Tööandjad saaks õppekavu täiendada.
Üheksa ühele: 10% töötaja töötasust on kõrvale pandud juurde- või ümberõppeks. Maksude ümberstruktureerimine, et õpet sellisel kujul rahastada."
Tööhõive,Eestis on oskustööjõu puudus: 2017. aasta lõpus oli saadaval üle 10000 töökoha,4,"Osapooli kaasav töörühm probleemi adresseeriva ja samm-sammulist tegevusplaani hõlmava ühisstrateegiaga.
Rohkem toetust selgitustöö ja koolituste näol tööealistele inimestele sellest, kuidas luua ise endale töökoht ja millised kohustused sellega kaasnevad. "
Tööhõive,"Noorte ootused tööle (palgad, töökorraldus, jm) ei vasta tööturul pakutavale",11,"Reaalse tööpraktika astmeline süsteem, lisaks tööandjate koolitamine ja ettevõtjaks hakkamise motiveerimine.
Motiveerida kohalikke omavalitsusi tundma rohkem huvi noorte kaasatuse ja tööhõive vastu. 
Suhtumise muutumine (mh tarbimiskultuuri vähendamine noorte hulgas): kutseharidus hinnatud ja toetatud, kutsenõustamine, noorte tööellu sisenemise ja seal püsimise toetamine. "
Tööhõive,Eestis on üheaegselt struktuurne tööjõupuudus ja tööpuudus,10,"Elukestva õppe ja ühistegevuse institutsionaliseerimine - vabaühendusi, ametnikke, spetsialiste koondava rahvakogu kokkukutsumine. 
Koordineeritud koostöö: koolid (haridusasutused) ja tööandjad alustavad teadlikku ja aktiivset koostööd. 
Odava üürikinnisvara pakkumine piiratud ajal ellu astumiseks + maksusoodustus noortele peredele, riiklik noortele suunatud üürimajade programm"
Tööhõive,"Töötajatel on vähe võimalusi paindlikuks tööks, sh osakoormusega ja kaugtööks, mis jätab osa töövõimelistest inimestest tööturult kõrvale",12,"Tööandjate motiveerimine kaugtöö rakendamiseks. 
Nutikas transport: efektiivselt korraldatud ja jagatud transport, mis aitaks sõita mugavalt tööle ja tagasi. 
Osakoormus normiks: soodustada maksusoodustustega osakoormusega töötamist teatud gruppidele (nt vähese töövõimega inimesed, noored, lastega perede vanemad jt, kel mingil põhjusel ei ole võimalik täiskoormusel töötada).
Kõik tegudele: väike tööamps igale soovijale kui lahendus paindlikuks töötamiseks. Õppivate noorte puhul sotsiaalmaksuvabastus tööandjale teatud summa/töötasu suurusest alates.
Muuta paindlikumaks suhtumine tööajale ja töötamise asukoha osas. Riik saab olla rakendajana eeskujuks. 
Töö niidab tegijat: kohtume poolel tööl! Avalik sektor näitab eeskuju läbi julgete uuenduste ja lahenduste nagu uued mõõdikud töö tootlikuse hindamiseks,  töönädal pooleks tänu efektiivsemale tööle. Edasi hüvitised ja maksusoodustused firmadele lühema tööaja eest, rändkarikas “parim tunnilõikaja"". 
Kaugtöö arendamine (tööandjate suhtumise muutmine, infra arendamine, kaugtöökontorite väljaehitamine). "
Tööhõive,Eesti tööturule on iseloomulik vanuseline tõrjumine,4,"Päästame tööturu: tööandja peab keskenduma isiksusele, mitte vanusegrupile. Riik saab enam panustada organisatsioonidesse, kes tegelevad töötutega. "
Tööhõive,Hirm puuduse ees,1,
Tööhõive,Puuetega inimeste hõivatus on endiselt madal,1,"Juhtidele mõeldud koolitused puuetega noorte töölevõtmiseks. 
Riiklik toetus ettevõtjale erivajadustega noorte töölevõtmisel."
